,index,text,label
0,27,"The bird @flapped@ its wings.
youdao: 鸟 拍 着 翅膀 。
google: 小鸟 拍打着 翅膀 。
opus: 鸟飞 了 翅膀
group_1:
ref:小鸟@拍打着@翅膀。
group_2:
ref: 鸟 @拍着@ 翅膀。
group_3:
ref:小鸟 @拍打着@ 翅膀 。",
1,182,"This car does not @compare@ with our line of Mercedes.
youdao: 这种 车 比不上 我们 的 奔驰 系列 。
google: 这辆 车 无法 与 我们 的 梅赛德斯 系列 相提并论 。
opus: 这辆 车 和 我们 的 奔驰车 线 是 不 一样 的
group_1:
lieral ref:这辆车无法与我们的梅赛德斯系列@相提并论@。
group_2:
ref: 这辆 车 无法 与 我们的 梅赛德斯 系列 @相比@。
group_3:
ref: 这辆 车 无法 与 我们 的 梅赛德斯 系列 @相提并论@ 。",
2,319,"The crowd @pushed@ forward.
youdao: 人群 向前 推进 。
google: 人群 向前 推进 。
opus: 人群 向前 推进 。
group_1:
ref:人群向前@推进@。
group_2:
ref: 人群 向前 @推进@。
group_3:
ref:人群 向前 @推进@ 。",
3,41,"The ground @levelled@ off.
youdao: 地面 变平 了 。
google: 地面 变平 了 。
opus: 地面 平坦 下来 了
group_1:
ref:地面@变平坦@了。
group_2:
ref: 地面 @变平@ 了。
group_3:
ref:地面 @变平坦了@。",
4,225,"Chanel @designed@ the famous suit.
youdao: 香奈儿 设计 了 那套 著名 的 套装 。
google: 香奈儿 设计 了 著名 的 套装 。
opus: 香奈儿 设计 了 著名 西装
group_1:
ref:香奈儿@设计@了那套著名的套装。
group_2:
ref: 香奈儿 @设计@ 了 那套 著名 的 套装。
group_3:
ref: 香奈儿 @设计 了@ 那套 著名 的 套装 。",
5,75,"Are the letters properly @stamped?@
youdao: 这些 信盖 好 邮票 了 吗 ?
google: 这些 字母 是否 正确 盖章 ？
opus: 这些 信有 贴 上 适当 的 印章 吗 ?
group_1:
ref:这些信有@贴上适当的邮票@吗 ?
group_2:
ref: 这些 信 有 被 适当地 @贴上邮票@ 吗？
group_3:
ref:这些 信@盖 好 合适的印章 了@ 吗 ?",
6,148,"We haven't even begun to @map@ the many galaxies that we know exist.
youdao: 我们 甚至 还 没有 开始 绘制 我们 已知 存在 的 许多 星系 的 地图 。
google: 我们 甚至 还 没有 开始 绘制 我们 已知 存在 的 许多 星系 的 地图 。
opus: 我们 甚至 还 没有 开始 绘制   我们 所 知道 存在 的 许多 星系 的 地图
group_1:
ref: 我们甚至还没有开始@绘制@我们已知存在的许多星系的地图 。
group_2:
ref: 我们 甚至 还 没有 开始 @绘制@ 我们 已知 存在 的 许多 星系 的地图。
group_3:
ref: 我们 甚至 还 没有 开始 @绘制 @ 我们 所 知道 存在 的 许多 星系 的 地图。",
7,102,"The actress @abused@ the policeman who gave her a parking ticket.
youdao: 那个 女演员 辱骂 给 她 违章 停车 罚单 的 警察 。
google: 这位 女演员 辱骂 了 给 她 一张 停车 罚单 的 警察 。
opus: 女演员 虐待 给 了 她 停车 罚单 的 警察
group_1:
ref: 这位女演员@辱骂@了给她一张停车罚单的警察。
group_2:
ref: 那个 女演员 @辱骂@ 给 了 她 一张 停车 罚单 的 警察。
group_3:
ref: 女演员 @辱骂了@ 给 了 她 停车 罚单 的 警察。",
8,180,"Our dog @sheds@ every Spring.
youdao: 我们 的 狗 每年 春天 都 脱毛 。
google: 我们 的 狗 每年 春天 都 会 掉 毛 。
opus: 我们 的 狗 每年 春天 都 会 跑
group_1:
ref:我们的狗每年春天都会@掉毛@。
group_2:
ref: 我们 的 狗 每年 春天 都 会 @脱毛@。
group_3:
ref: 我们 的 狗 每年 春天 都 会 @掉 毛@ 。",
9,38,"@trace@ the outline of a figure in the sand.
youdao: 在 沙地 上画 出 一个 人影 的 轮廓 。
google: 在 沙滩 上 勾勒 出 一个 人影 的 轮廓 。
opus: 沙中 图案 的 轮廓
group_1:
ref:在沙地上@画出@一个人影的轮廓 。
group_2:
ref: 在 沙地 上 @描绘@ 出 一个 人影 的 轮廓。
group_3:
ref: 在 沙地 上 @勾勒@ 出 一个 人影 的 轮廓 。",
10,273,"The rubber ball @bounced.@
youdao: 皮球 弹 了 起来 。
google: 橡皮球 弹 了 起来 。
opus: 橡皮球 反弹 了
group_1:
ref:橡皮球@弹了@起来。
group_2:
ref: 橡皮球 @弹@ 了 起来。
group_3:
ref:皮球 @弹 了@ 起来 。",
11,323,"This nucleus has @captured@ the slow- moving neutrons.
youdao: 这个 原子核 捕获 了 缓慢 移动 的 中子 。
google: 这个 原子核 俘获 了 缓慢 移动 的 中子 。
opus: 这个 核心 捕捉 了 慢 移动 的 中子
group_1:
ref:这个原子核@捕捉@了慢移动的中子。
group_2:
ref: 这个 原子核 @捕获@ 了 缓慢 移动 的 中子。
group_3:
ref: 这个 原子核 @捕获 了@ 缓慢 移动 的 中子 。",
12,155,"@acknowledge@ the deed.
youdao: 承认 这一 行为 。
google: 承认 行为 。
opus: 承认 契约 。
group_1:
ref:@承认@这一行为
group_2:
ref: @承认@ 这一 契约。
group_3:
ref: @承认 @这一 行为 。",
13,167,"He @marched@ into the classroom and announced the exam.
youdao: 他 大步 走进 教室 ， 宣布 考试 开始 。
google: 他 大步 走进 教室 ， 宣布 考试 。
opus: 他 走进 教室   宣布 考试
group_1:
ref: 他@大步走进@教室,宣布考试开始。
group_2:
ref: 他 @大步走@ 进 教室, 宣布 考试 开始。
group_3:
ref: 他 @大步 走@进 教室 , 宣布 考试 开始 。",
14,305,"@spot@ the areas that one should clearly identify.
youdao: 找出 应该 清楚 识别 的 领域 。
google: 发现 应该 清楚 识别 的 区域 。
opus: 标出 应 明确 标明 的 区域 。
group_1:
ref:@标出@应明确标明的区域。
group_2:
ref: @标出@ 应该 清楚 识别 的 区域。
group_3:
ref: @找出@ 应该 清楚 识别 的 区域 。",
15,100,"This dress @spots@ quickly.
youdao: 这件 衣服 脏得 快 。
google: 这件 衣服 很快 就 会 掉色 。
opus: 这 裙子 的 斑点 很快 。
group_1:
ref:这件衣服@脏得@快。
group_2:
ref: 这件 衣服 @脏@得 快。
group_3:
ref: 这件 衣服 @脏得@ 快 。",
16,283,"Drive carefully -- the wet road @reflects.@
youdao: 小心 驾驶 ， 湿路会 反光 。
google: 小心 驾驶 — — 湿滑 的 路面 反映 出来 。
opus: 仔细 驾驶   --   --   湿道 反射 。
group_1:
ref:小心驾驶,湿路会@反光@。
group_2:
ref: 小心驾驶,湿滑 的 路面 会 @反射@ 光线。
group_3:
ref:小心 驾驶 , 湿路会 @反光@ 。",
17,88,"the invaders @seized@ the land and property of the inhabitants.
youdao: 侵略者 夺取 了 居民 的 土地 和 财产 。
google: 侵略者 夺取 了 居民 的 土地 和 财产 。
opus: 侵略者 夺取 了 居民 的 土地 和 财产 。
group_1:
ref:侵略者@夺取@了居民的土地和财产。
group_2:
ref: 侵略者@夺取@ 了居民 的 土地 和 财产。
group_3:
ref: 侵略者 @夺取 了@ 居民 的 土地 和 财产 。",
18,157,"The addict was @snorting@ cocaine almost every day.
youdao: 那个 瘾君子 几乎 每天 都 在 吸食 可卡因 。
google: 瘾君子 几乎 每天 都 吸食 可卡因 。
opus: 瘾君子 几乎 每天 都 吸食 可卡因
group_1:
ref:那个瘾君子几乎每天都在@吸食@可卡因。
group_2:
ref: 那个 瘾君子 几乎 每天 都 在 @用鼻子吸@ 可卡因。
group_3:
ref: 那个 瘾君子 几乎 每天 都 在 @吸食@ 可卡因 。",
19,226,"Protein @digests@ in a few hours.
youdao: 蛋白质 几小时 就 能 消化 。
google: 蛋白质 在 几个 小时 内 消化 。
opus: 几小时 后 就 会 有 蛋白质 摘要
group_1:
ref:蛋白质几小时就能@消化@。
group_2:
ref:蛋白质 在 几个 小时 内 就 能 @消化@。
group_3:
ref: 蛋白质 几小时内 就 能 @消化@ 。",
20,18,"Hitler @attacked@ Poland on September 1, 1939 and started World War II.
youdao: 1939 年 9 月 1 日 ， 希特勒 袭击 了 波兰 ， 引发 了 第二次世界大战 。
google: 1939   年   9   月   1   日 ， 希特勒 进攻 波兰 ， 二战 爆发 。
opus: 1939 年 9 月 1 日 希特勒 攻击 波兰   发动 二战
group_1:
ref: 1939 年 9 月 1 日 ,希特勒@袭击@了波兰,引发了第二次世界大战。
group_2:
ref: 1939年9月1日,希特勒@进攻@波兰,引发了第二次世界大战。
group_3:
ref: 1939 年 9 月 1 日 , 希特勒 @袭击 了 @波兰 , 引发 了 第二次世界大战 。",
21,161,"The pool slowly @filled@ with water.
youdao: 池水 慢慢 地 灌满 了 。
google: 水池 缓缓 注满 了 水 。
opus: 水池 慢慢 地 充满 了 水
group_1:
ref:水池缓缓@注满@了水
group_2:
ref: 水池 慢慢地 @注满@ 了 水。
group_3:
ref: 水池 缓缓 @注满 了@ 水 。",
22,58,"We @sailed@ the Atlantic.
youdao: 我们 横渡 大西洋 。
google: 我们 航行 了 大西洋 。
opus: 我们 航行 大西洋 。
group_1:
ref:我们@横渡了@大西洋。
group_2:
ref: 我们 @航行@ 穿过了 大西洋。
group_3:
ref: 我们 @横渡了@ 大西洋 。",
23,242,"The driver @jammed@ the brake pedal to the floor.
youdao: 司机 猛地 把 刹车踏板 踩 在 地板 上 。
google: 司机 把 刹车踏板 踩 在 地板 上 。
opus: 司机 把 刹车踏板 卡 在 地板 上 。
group_1:
ref: 司机@猛踩@刹车踏板到地板上。
group_2:
ref: 司机 把 刹车踏板 @踩@ 在 地板 上。
group_3:
ref: 司机 @猛地@ 把 刹车踏板 @踩 @到底。",
