,index,text,label
0,213,"The new measures @deflated@ the economy.
youdao: 新 措施 使 经济 紧缩 。
google: 新 措施 使 经济 紧缩 。
opus: 新 措施 削弱 了 经济 。
group_1:
full: 新措施@削弱@了经济
non: 新措施使物价@下降@
group_2:
full: 新措施导致了@通货紧缩@。
non: 新措施给经济造成@打击@。
group_3:
non: 新措施使经济发展@受阻@。
part: 新措施使经济@紧缩@。",
1,306,"a man whose name is permanently @stamped@ on our maps.
youdao: 一个 名字 永远 印在 我们 地图 上 的 人 。
google: 一个 名字 永久 印在 我们 地图 上 的 人 。
opus: 一个 名字 永远 印在 我们 地图 上 的 人
group_1:
full: 一个名字永远@镌刻@在我们地图上的人。
non: 一个名字永远@写@在我们地图上的人。
group_2:
full: 一个 名字 永远 @铭刻@在 我们 地图 上 的 人 。
non: 一个 名字 永远 @印@在 我们 地图 上 的 人 。
group_3:
full: 一个名字永远@印在@我们的地图上的人。
non: 一个名字永远@印在@我们的地图上的人。",
2,104,"The dancer @floated@ across the stage.
youdao: 舞蹈演员 飘舞着 穿过 舞台 。
google: 舞者 飘过 舞台 。
opus: 舞者 漂浮 在 舞台 上
group_1:
full: 舞者在舞台上@轻盈走动@。
non: 舞者@默默走过@舞台。
group_2:
full: 舞蹈演员@翩翩起舞@,穿过舞台。
non: 舞蹈演员@飘过@舞台。
group_3:
full: 舞蹈演员@飘舞着@穿过舞台。
non: 舞蹈演员@轻轻走过@舞台。",
3,182,"The principal @visited@ his rage on the students.
youdao: 校长 把 怒气 发泄 在 学生 身上 。
google: 校长 把 他 的 愤怒 发泄 到 学生 身上 。
opus: 校长 参观 了 他 对 学生 的 愤怒 。
group_1:
full: 校长把怒气@发泄@在学生身上 。
non: 校长@对@学生生气。
group_2:
non: 校长 对 这些 学生@表达@了 他 强烈 的 愤怒 。
part: 校长 把 怒气@发泄@在 学生 身上。
group_3:
full: 校长的怒气@降临@到了学生头上。
non: 校长把怒气@发泄@在学生身上。",
4,39,"The bicycle @looped@ around the tree.
youdao: 自行车 绕 着 树 转圈 。
google: 自行车 绕 着 树转 了 一圈 。
opus: 自行车 环绕着 树圈
group_1:
full: 自行车绕着树转圈 。
non: 自行车绕着树转圈 。
group_2:
full: 自行车 @绕@ 着 树 @转圈@ 。
non: 自行车 @沿@ 着 树 的 周围 运动 。
group_3:
full: 自行车绕着树@转圈@
non: 自行车绕着树@转@",
5,42,"@stamp@ fruit extract the juice.
youdao: 戳 水果 提取 果汁 。
google: 邮票 水果 提取 果汁 。
opus: 果果 提取 果汁 。
group_1:
full: @捣碎@水果榨取果汁 。
non: @压@水果提取果汁 。
group_2:
non: @挤压@水果 提取 果汁。
part: @压榨@水果 提取 果汁。
group_3:
non: @重踩@水果 提取 果汁 。
part: @挤压@水果 提取 果汁 。",
6,134,"The French try to @sell@ us their image as great lovers.
youdao: 法国人 试图 向 我们 推销 他们 伟大 情人 的 形象 。
google: 法国人 试图 向 我们 兜售 他们 伟大 情人 的 形象 。
opus: 法国人 试图 卖 我们   他们 的 形象   作为 伟大 的 恋人 。
group_1:
full: 法国人试图向我们@推销@他们伟大情人的形象 。
non: 法国人试图向我们@传播@他们伟大情人的形象 。
group_2:
full: 法国人 试图 向 我们 @兜售@ 他们 伟大 恋人 的 形象。
non: 法国人 试图 向 我们 @推销@ 他们 伟大 恋人 的 形象。
group_3:
non: 法国人试图向我们@销售@他们完美情人的形象。
part: 法国人试图向我们@展示@他们完美情人的形象。",
7,192,"The rooms @communicated.@
youdao: 这些 房间 相通 。
google: 房间 沟通 。
opus: 房间 的 沟通 。
group_1:
full: 这些房间彼此@相通@ 。
non: 这些房间是@连在一起的@
group_2:
full: 这些 房间 @相通@。
non: 这些 房间 @相互连通@。
group_3:
full: 这些房间@相通@。
non: 这些房间@交流@。",
8,308,"The Senator @steamrollered@ the bill to defeat.
youdao: 那位 参议员 强 行使 该 法案 失败 。
google: 参议员 以 压倒性 的 方式 使 议案 落败 。
opus: 参议员 把 法案 推倒 了
group_1:
full: 那位参议员@施压@使该法案失败 。
non: 参议员强行把法案推倒了。
group_2:
full: 参议员以@压倒性@的方式使议案落败。
non: 参议员@强行@驳倒该议案。
group_3:
non: 那位参议员@强行@使该法案失败
part: 那位参议员@施加强大压力@使该议案落败",
9,280,"The bad news @shook@ her hopes.
youdao: 这个 坏消息 动摇 了 她 的 希望 。
google: 这个 坏消息 动摇 了 她 的 希望 。
opus: 坏消息 动摇 了 她 的 希望 。
group_1:
full: 这个坏消息@动摇@了她的希望 。
non: 这个坏消息使她的希望破灭 。
group_2:
full: 这个 坏消息 @动摇@ 了 她 的 希望 。
non: 这个 坏消息 让 她 @失望@。
group_3:
full: 这个坏消息@动摇@了她的希望。
non: 这个坏消息@动摇@了她的希望。",
